obj,path,mother_clinic,mother_quest,mother,partner_quest,partner_clinic,partner,child_based,child_completed
ccn_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccp_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccq_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccr_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccs_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
cct_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccu_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccxa_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccxb_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccxc_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccxd_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccxe_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ccxf_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPA_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPB_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPC_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPD_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPE_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPF_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPG_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPH_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPJ_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPK_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPL_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
YPM_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PHE_COVID_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
COVID1_G0partner_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
COVID1_Mum_,current/quest/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
COVID1_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
COVID2_G0partner_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
COVID2_Mum_,current/quest/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
COVID2_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
COVID3_G0partner_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
COVID3_Mum_,current/quest/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
COVID3_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
